dateCreated,doccat,doctype,filename,title
05/08/2022 14:27,ascot,factsheet,ASCOT-Factsheet-Jul22.pdf,ASCOT Factsheet Jul22
07/07/2022 09:29,afund,factsheet,AFUND-Factsheet-Jun22.pdf,AFUND Factsheet Jun22
07/07/2022 09:29,aslit,factsheet,ASLIT-Factsheet-Jun22.pdf,ASLIT Factsheet Jun22
07/07/2022 09:28,ascot,factsheet,ASCOT-Factsheet-Jun22.pdf,ASCOT Factsheet Jun22
10/06/2022 09:24,afund,factsheet,AFUND-Factsheet-May22.pdf,AFUND Factsheet May22
10/06/2022 09:23,aslit,factsheet,ASLIT-Factsheet-May22.pdf,ASLIT Factsheet May22
10/06/2022 09:21,ascot,factsheet,ASCOT-Factsheet-May22.pdf,ASCOT Factsheet May22
09/05/2022 11:13,afund,factsheet,AFUND-Factsheet-Apr22.pdf,AFUND Factsheet Apr22
09/05/2022 11:12,aslit,factsheet,ASLIT-Factsheet-Apr22.pdf,ASLIT Factsheet Apr22
09/05/2022 11:12,ascot,factsheet,ASCOT-Factsheet-Apr22.pdf,ASCOT Factsheet Apr22
07/04/2022 14:03,afund,factsheet,AFUND-Factsheet-Mar22.pdf,AFUND Factsheet Mar22
07/04/2022 14:02,aslit,factsheet,ASLIT-Factsheet-Mar22.pdf,ASLIT Factsheet Mar22
07/04/2022 14:01,ascot,factsheet,ASCOT-Factsheet-Mar22.pdf,ASCOT Factsheet Mar22
07/03/2022 15:13,afund,factsheet,AFUND-Factsheet-Feb22.pdf,AFUND Factsheet Feb22
07/03/2022 15:12,aslit,factsheet,ASLIT-Factsheet-Feb22.pdf,ASLIT Factsheet Feb22
07/03/2022 15:11,ascot,factsheet,ASCOT-Factsheet-Feb22.pdf,ASCOT Factsheet Feb22
07/02/2022 12:56,afund,factsheet,AFUND-Factsheet-Jan22.pdf,AFUND Factsheet Jan22
07/02/2022 12:55,aslit,factsheet,ASLIT-Factsheet-Jan22.pdf,ASLIT Factsheet Jan22
07/02/2022 12:54,ascot,factsheet,ASCOT-Factsheet-Jan22.pdf,ASCOT Factsheet Jan22
20/01/2022 10:39,afund,factsheet,AFUND-Factsheet-Dec21_2022-01-20-103952_ocon.pdf,AFUND Factsheet Dec21
20/01/2022 10:39,aslit,factsheet,ASLIT-Factsheet-Dec21_2022-01-20-103920_npwv.pdf,ASLIT Factsheet Dec21
20/01/2022 10:38,ascot,factsheet,ASCOT-Factsheet-Dec21_2022-01-20-103829_eaed.pdf,ASCOT Factsheet Dec21
14/01/2022 14:13,afund,factsheet,AFUND-Factsheet-Dec21_2022-01-14-141320_atml.pdf,AFUND Factsheet Dec21
14/01/2022 14:12,aslit,factsheet,ASLIT-Factsheet-Dec21_2022-01-14-141244_grcd.pdf,ASLIT Factsheet Dec21
14/01/2022 14:08,ascot,factsheet,ASCOT-Factsheet-Dec21_2022-01-14-140835_kmcu.pdf,ASCOT Factsheet Dec21
10/01/2022 13:59,afund,factsheet,AFUND-Factsheet-Dec21.pdf,AFUND Factsheet Dec21
10/01/2022 13:59,aslit,factsheet,ASLIT-Factsheet-Dec21.pdf,ASLIT Factsheet Dec21
10/01/2022 13:58,ascot,factsheet,ASCOT-Factsheet-Dec21.pdf,ASCOT Factsheet Dec21
22/12/2021 11:25,afund,factsheet,AFUND-Factsheet-Jan17.pdf,AFUND Factsheet Jan17
22/12/2021 11:24,afund,factsheet,AFUND-Factsheet-Feb17.pdf,AFUND Factsheet Feb17
22/12/2021 11:24,afund,factsheet,AFUND-Factsheet-Mar17.pdf,AFUND Factsheet Mar17
22/12/2021 11:23,afund,factsheet,AFUND-Factsheet-Apr17.pdf,AFUND Factsheet Apr17
22/12/2021 11:22,afund,factsheet,AFUND-Factsheet-May17.pdf,AFUND Factsheet May17
22/12/2021 11:21,afund,factsheet,AFUND-Factsheet-Jun17.pdf,AFUND Factsheet Jun17
22/12/2021 11:21,afund,factsheet,AFUND-Factsheet-Jul17.pdf,AFUND Factsheet Jul17
22/12/2021 11:19,afund,factsheet,AFUND-Factsheet-Aug17.pdf,AFUND Factsheet Aug17
22/12/2021 11:19,afund,factsheet,AFUND-Factsheet-Sep17.pdf,AFUND Factsheet Sep17
22/12/2021 11:18,afund,factsheet,AFUND-Factsheet-Oct17.pdf,AFUND Factsheet Oct17
22/12/2021 11:17,afund,factsheet,AFUND-Factsheet-Nov17.pdf,AFUND Factsheet Nov17
22/12/2021 11:16,afund,factsheet,AFUND-Factsheet-Dec17.pdf,AFUND Factsheet Dec17
22/12/2021 11:12,afund,factsheet,AFUND-Factsheet-Jan18.pdf,AFUND Factsheet Jan18
22/12/2021 11:11,afund,factsheet,AFUND-Factsheet-Feb18.pdf,AFUND Factsheet Feb18
22/12/2021 11:10,afund,factsheet,AFUND-Factsheet-Mar18.pdf,AFUND Factsheet Mar18
22/12/2021 11:09,afund,factsheet,AFUND-Factsheet-Apr18.pdf,AFUND Factsheet Apr18
22/12/2021 11:09,afund,factsheet,AFUND-Factsheet-May18.pdf,AFUND Factsheet May18
22/12/2021 11:08,afund,factsheet,AFUND-Factsheet-Jun18.pdf,AFUND Factsheet Jun18
22/12/2021 11:00,afund,factsheet,AFUND-Factsheet-Jul18.pdf,AFUND Factsheet Jul18
22/12/2021 10:59,afund,factsheet,AFUND-Factsheet-Aug18.pdf,AFUND Factsheet Aug18
22/12/2021 10:59,afund,factsheet,AFUND-Factsheet-Sep18.pdf,AFUND Factsheet Sep18
22/12/2021 10:58,afund,factsheet,AFUND-Factsheet-Oct18.pdf,AFUND Factsheet Oct18
22/12/2021 10:57,afund,factsheet,AFUND-Factsheet-Nov18.pdf,AFUND Factsheet Nov18
22/12/2021 10:57,afund,factsheet,AFUND-Factsheet-Dec18_2021-12-22-105708_xnth.pdf,AFUND Factsheet Dec18
22/12/2021 10:56,afund,factsheet,AFUND-Factsheet-Dec18.pdf,AFUND Factsheet Dec18
22/12/2021 10:50,aslit,factsheet,ASLIT-Factsheet-Jul17.pdf,ASLIT Factsheet Jul17
22/12/2021 10:49,aslit,factsheet,ASLIT-Factsheet-Aug17.pdf,ASLIT Factsheet Aug17
22/12/2021 10:47,aslit,factsheet,ASLIT-Factsheet-Sep17.pdf,ASLIT Factsheet Sep17
22/12/2021 10:47,aslit,factsheet,ASLIT-Factsheet-Oct17.pdf,ASLIT Factsheet Oct17
22/12/2021 10:46,aslit,factsheet,ASLIT-Factsheet-Nov17.pdf,ASLIT Factsheet Nov17
22/12/2021 10:45,aslit,factsheet,ASLIT-Factsheet-Dec17.pdf,ASLIT Factsheet Dec17
22/12/2021 10:35,aslit,factsheet,ASLIT-Factsheet-Jan18.pdf,ASLIT Factsheet Jan18
22/12/2021 10:34,aslit,factsheet,ASLIT-Factsheet-Feb18.pdf,ASLIT Factsheet Feb18
22/12/2021 10:33,aslit,factsheet,ASLIT-Factsheet-Mar18.pdf,ASLIT Factsheet Mar18
22/12/2021 10:33,aslit,factsheet,ASLIT-Factsheet-Apr18.pdf,ASLIT Factsheet Apr18
22/12/2021 10:31,aslit,factsheet,ASLIT-Factsheet-May18.pdf,ASLIT Factsheet May18
22/12/2021 10:30,aslit,factsheet,ASLIT-Factsheet-Jun18.pdf,ASLIT Factsheet Jun18
22/12/2021 10:29,aslit,factsheet,ASLIT-Factsheet-Jul18.pdf,ASLIT Factsheet Jul18
22/12/2021 10:28,aslit,factsheet,ASLIT-Factsheet-Aug18.pdf,ASLIT Factsheet Aug18
22/12/2021 10:28,aslit,factsheet,ASLIT-Factsheet-Sep18.pdf,ASLIT Factsheet Sep18
22/12/2021 10:27,aslit,factsheet,ASLIT-Factsheet-Oct18.pdf,ASLIT Factsheet Oct18
22/12/2021 10:26,aslit,factsheet,ASLIT-Factsheet-Nov18.pdf,ASLIT Factsheet Nov18
22/12/2021 10:26,aslit,factsheet,ASLIT-Factsheet-Dec18.pdf,ASLIT Factsheet Dec18
22/12/2021 10:23,ascot,factsheet,ASCOT-Factsheet-Jan17.pdf,ASCOT Factsheet Jan17
22/12/2021 10:23,ascot,factsheet,ASCOT-Factsheet-Feb17.pdf,ASCOT Factsheet Feb17
22/12/2021 10:21,ascot,factsheet,ASCOT-Factsheet-Mar17.pdf,ASCOT Factsheet Mar17
22/12/2021 10:20,ascot,factsheet,ASCOT-Factsheet-Apr17.pdf,ASCOT Factsheet Apr17
22/12/2021 10:19,ascot,factsheet,ASCOT-Factsheet-May17.pdf,ASCOT Factsheet May17
22/12/2021 10:18,ascot,factsheet,ASCOT-Factsheet-Jun17.pdf,ASCOT Factsheet Jun17
22/12/2021 10:17,ascot,factsheet,ASCOT-Factsheet-Jul17.pdf,ASCOT Factsheet Jul17
22/12/2021 10:16,ascot,factsheet,ASCOT-Factsheet-Aug17.pdf,ASCOT Factsheet Aug17
22/12/2021 10:16,ascot,factsheet,ASCOT-Factsheet-Sep17.pdf,ASCOT Factsheet Sep17
22/12/2021 10:15,ascot,factsheet,ASCOT-Factsheet-Oct17.pdf,ASCOT Factsheet Oct17
22/12/2021 10:15,ascot,factsheet,ASCOT-Factsheet-Nov17.pdf,ASCOT Factsheet Nov17
22/12/2021 10:14,ascot,factsheet,ASCOT-Factsheet-Dec17.pdf,ASCOT Factsheet Dec17
22/12/2021 10:11,ascot,factsheet,ASCOT-Factsheet-Jan18.pdf,ASCOT Factsheet Jan18
